726 2
# #
. #
. .
. #
# #
# #
. #
. .
. #
. #
. .
. #
# .
# #
. .
. #
. #
. .
# .
. #
# #
. .
# #
# #
. #
# .
# #
. #
. .
. .
# .
. #
. #
. .
. .
. #
. #
# #
# #
. .
. #
# #
. .
. #
. #
# #
. .
# #
. .
# #
. #
# #
. #
. #
# #
# #
# #
# .
. #
. .
. #
. #
. .
# #
# .
# #
. .
. .
# .
. #
# .
. .
# .
# .
. #
# .
# #
. .
# .
. .
# .
. .
# #
. #
# #
. #
# #
. .
# .
# .
. #
# #
# .
. .
# .
# .
# #
. .
. #
# #
. #
. #
. .
# .
# .
. #
# #
. #
. .
# .
. #
. #
# #
. #
. #
. #
. #
# #
. .
. .
. #
. #
# #
# .
. #
# #
. .
# .
. #
. .
. .
. #
# .
# .
# #
# #
. #
# #
. #
# .
# #
. #
# .
# .
# .
# .
# .
# .
. .
. .
. #
# #
. .
. #
. #
. #
# #
# #
. #
# #
# #
. .
. .
# #
. .
. .
# #
# .
. .
# #
. .
. #
. #
. #
. .
. .
. #
# .
# #
. .
. #
. .
. .
. #
. .
# .
# .
# #
# .
. .
# .
# .
# #
# #
. #
# #
. #
. .
# #
. #
# .
# .
. .
. #
. #
. .
. #
# #
# .
. .
# #
. .
# #
. .
# .
# #
. #
# #
. .
. .
# #
. .
. .
# #
. .
# #
# #
. #
. .
# .
# .
# #
. #
# .
# .
# .
. .
. .
. #
. #
. .
. .
. .
. .
. #
. #
. .
. #
. .
. .
# .
# .
. .
# .
# #
. .
. #
# .
. #
# .
. .
. .
# .
# .
# #
# #
. .
# #
. .
# .
. #
. .
# .
# #
# #
# #
. #
. #
. .
# #
. .
# .
# #
# .
# X
# #
# .
# #
. #
# .
# #
# .
# .
# .
. .
. .
# .
. .
# .
. .
# #
. #
# .
. #
# .
. #
# .
. .
# #
# .
# #
# .
# #
. #
# .
# #
. #
# .
# .
. .
. #
# .
# #
. #
# .
# .
# .
# .
# #
. .
# #
. #
# .
. #
# #
# .
# .
. #
# #
# #
# .
. #
. #
. .
. #
. #
# .
# #
# .
# #
# .
. .
# #
. #
# .
# .
. .
. .
# #
. .
. #
. .
# #
# #
# .
. #
. .
# #
# .
# .
# #
# #
# #
# .
# .
# .
. #
# .
. #
. .
. .
. #
# #
. .
. .
# #
# .
# #
# #
. .
. .
. #
. .
# #
. #
. #
# .
# #
. .
# #
# #
. #
. .
. #
# .
# #
# .
. #
# .
# .
# .
# .
. #
. #
. .
# #
# .
# #
. #
. .
# #
# .
. #
. .
. .
. #
. .
. #
# .
# #
# #
. #
# #
# .
. .
# #
. #
. #
# .
. .
# #
# .
. #
. .
# .
. .
# #
# .
. .
# .
# #
. .
. #
. .
# .
# #
. #
. #
. .
# .
# #
# #
# .
# .
# .
# .
# #
# #
. #
. .
# .
. #
# #
. .
# .
. #
# #
. .
. .
# #
# #
# .
# .
. #
# #
# #
# .
# .
. .
# .
# .
# #
# #
# #
. #
# .
. .
. #
. #
# .
# #
# #
. #
. #
. #
. #
. .
. #
# .
. #
# .
. #
. .
. #
. #
# #
# .
# .
# #
. .
# .
# #
# .
# .
. .
# #
# #
. .
. #
. #
# .
# #
. #
. #
# #
. .
. #
. .
. .
. #
. #
# #
. .
. .
. #
# #
# #
# #
# .
. .
# .
. .
# #
# #
# #
. .
. #
. #
# #
. .
. #
. .
# #
. .
. #
. .
# #
. #
# .
. #
# #
. #
# #
. #
. .
. .
. .
# .
. #
# .
. .
. #
. .
# .
. .
# #
# #
# #
# .
# #
# .
. #
# #
# #
# #
# #
# .
. .
# .
# #
# #
. .
# .
# .
# .
# #
. #
. .
# .
# #
# .
. .
# #
# .
. #
# .
# #
. #
# .
. .
# .
. #
. #
# .
. .
. .
# #
. #
# #
# .
. .
. #
# .
. .
. .
. #
# #
# #
# .
# #
# .
. .
. .
. .
# #
# .
. .
. .
# #
# .
. #
. #
. #
# #
# .
# #
# .
. .
# .
. #
. .
. #
# .
# #
# .
# #
. #
. .
. .
. .
. #
# #
. .
# .
. .
# .
. .
. #
# .
# .
# .
# #
# .
# .
. #
. .
# #
. #
. .
. .
. .
. .
# .
# #
. .
. .
# .
# .
. #
# #
. .
# .
. .
# .
# .
. .
# .
# #
. #
. #
# #
. #
. #
# #
# .
. .
. .
# #
# .
. #
# .
# .
. .
# .
# #
# .
